id,name,cuisine,diet,ingredients,instructions,time_minutes
1,Vegetable Stir Fry,Chinese,Vegetarian,"carrot,broccoli,bell pepper,soy sauce,garlic,ginger,onion","Chop all vegetables. Heat oil in a pan, saute garlic and ginger. Add vegetables and stir fry on high heat for 5-7 minutes. Add soy sauce and toss well. Serve hot.",20
2,Tomato Pasta,Italian,Vegetarian,"pasta,tomato,garlic,onion,olive oil,basil,salt","Boil pasta until al dente. In a pan, saute garlic and onion in olive oil, add chopped tomatoes and cook until soft. Add basil and salt. Mix in pasta and serve.",25
3,Egg Fried Rice,Chinese,Non-Vegetarian,"rice,egg,soy sauce,onion,carrot,peas,garlic","Scramble eggs and set aside. Saute garlic and onion, add carrot and peas. Add cooked rice, soy sauce, and scrambled eggs. Mix well and serve.",15
4,Paneer Butter Masala,Indian,Vegetarian,"paneer,tomato,butter,cream,onion,garlic,ginger,garam masala","Saute onion, garlic and ginger in butter. Add tomato puree and cook until oil separates. Add garam masala, cream, and paneer cubes. Simmer for 5 minutes and serve.",30
5,Chicken Curry,Indian,Non-Vegetarian,"chicken,onion,tomato,garlic,ginger,turmeric,chili powder,oil","Saute onions until golden, add garlic-ginger paste, tomatoes, and spices. Add chicken pieces and cook covered until tender. Serve with rice or roti.",40
6,Greek Salad,Greek,Vegetarian,"cucumber,tomato,onion,feta cheese,olive oil,olives,oregano","Chop cucumber, tomato, and onion. Combine with olives and feta cheese. Drizzle with olive oil and sprinkle oregano. Toss gently and serve chilled.",10
7,Mushroom Soup,Continental,Vegetarian,"mushroom,onion,garlic,butter,cream,vegetable stock,black pepper","Saute mushrooms, onion and garlic in butter. Add vegetable stock and simmer for 10 minutes. Blend until smooth, stir in cream and black pepper.",25
8,Bean Tacos,Mexican,Vegetarian,"tortilla,black beans,onion,tomato,lettuce,cheese,lime,chili powder","Cook black beans with onion and chili powder. Fill tortillas with the bean mixture, top with tomato, lettuce, and cheese. Squeeze lime and serve.",20
9,Grilled Chicken Sandwich,American,Non-Vegetarian,"chicken,bread,lettuce,tomato,mayonnaise,cheese,black pepper","Grill chicken breast with black pepper. Toast bread slices, layer with lettuce, tomato, cheese, and grilled chicken. Add mayonnaise and serve.",20
10,Vegetable Fried Noodles,Chinese,Vegetarian,"noodles,cabbage,carrot,bell pepper,soy sauce,garlic,spring onion","Boil noodles and set aside. Saute garlic, then add shredded vegetables and stir fry. Add noodles and soy sauce, toss well, garnish with spring onion.",20
11,Masala Omelette,Indian,Non-Vegetarian,"egg,onion,tomato,green chili,coriander,salt,oil","Whisk eggs with chopped onion, tomato, green chili, coriander, and salt. Pour onto a hot greased pan and cook both sides until golden.",10
12,Fruit Salad,Continental,Vegetarian,"apple,banana,grapes,orange,honey,lemon juice",Chop all fruits into bite-sized pieces. Mix in a bowl with honey and lemon juice. Chill for 10 minutes before serving.,10
13,Spinach Dal,Indian,Vegetarian,"lentils,spinach,onion,tomato,garlic,cumin,turmeric","Cook lentils until soft. Saute cumin, garlic, and onion, add tomato and spinach. Combine with cooked lentils and simmer for 10 minutes.",30
14,Margherita Pizza,Italian,Vegetarian,"pizza base,tomato sauce,mozzarella cheese,basil,olive oil","Spread tomato sauce on pizza base, top with mozzarella cheese and basil leaves. Drizzle olive oil and bake at 220C for 12-15 minutes.",25
15,Shrimp Stir Fry,Thai,Non-Vegetarian,"shrimp,garlic,bell pepper,soy sauce,onion,ginger,chili","Saute garlic and ginger, add shrimp and cook until pink. Add bell pepper, onion, soy sauce, and chili. Stir fry for 5 minutes and serve.",15
